名称,所在地_連結表記,所在地_都道府県,所在地_市区町村,緯度,経度,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL
志賀町稗造コミュニティセンター,石川県羽咋郡志賀町大西ホ11,石川県,志賀町,37.15532347846924,136.76097672567388,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
稗造スポーツセンター,石川県羽咋郡志賀町大西ホ10,石川県,志賀町,37.15556179409002,136.76085604269784,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
稗造防災センター,石川県羽咋郡志賀町今田2-15,石川県,志賀町,37.166842929484446,136.78278761360775,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
志賀町稗造体育館,石川県羽咋郡志賀町鵜野屋ロ106,石川県,志賀町,37.189151688123125,136.79584484566675,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
稗造研修センター,石川県羽咋郡志賀町鵜野屋ロ106,石川県,志賀町,37.189378962236965,136.79578345457574,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
富来野球場,石川県羽咋郡志賀町八幡寅48,石川県,志賀町,37.14872760514909,136.73874202575476,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
石川県立富来健民ホッケー競技場,石川県羽咋郡志賀町里本江37-1-10,石川県,志賀町,37.14693686884848,136.7296236149435,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
ますほの丘住宅　単身者棟,石川県羽咋郡志賀町里本江53-6-5,石川県,志賀町,37.15022966052104,136.72002063409207,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
志賀町立東増穂公民館（東増穂コミュニティセンター）,石川県羽咋郡志賀町里本江53-41,石川県,志賀町,37.15253206747314,136.72100723863454,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
能登リゾートエリア増穂浦,石川県羽咋郡志賀町相神イ3-1,石川県,志賀町,37.15047708953069,136.7073983257547,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
富来小学校,石川県羽咋郡志賀町相神に80,石川県,志賀町,37.15636427,136.7175934670405,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
酒見農村公園,石川県羽咋郡志賀町酒見河原44,石川県,志賀町,37.152934834377554,136.70204179808164,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
西部台地総合公園,"石川県羽咋郡志賀町酒見44-1-1,1-2",石川県,志賀町,37.15321218357927,136.68871191108576,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
志賀町とぎ地域福祉センター,石川県羽咋郡志賀町酒見河原50,石川県,志賀町,37.15294609383261,136.70135767691173,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
志賀町消防団 西増穂分団詰所,石川県羽咋郡志賀町酒見松田253,石川県,志賀町,37.15583942,136.7065916469434,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
酒見構造改善センター,石川県羽咋郡志賀町酒見松田254,石川県,志賀町,37.15579567383857,136.70637397770471,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
志賀町とぎ実験農場,石川県羽咋郡志賀町香能ろ64,石川県,志賀町,37.159668079220566,136.68942110651767,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
風戸農村公園,石川県羽咋郡志賀町西海風戸改135,石川県,志賀町,37.141729846077695,136.69261743107683,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
滝ノ澗公園,石川県羽咋郡志賀町西海風無ソ66-1,石川県,志賀町,37.14118099296527,136.68549859430485,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
志賀町消防団 西海分団詰所,石川県羽咋郡志賀町西海風無ヲ17-10,石川県,志賀町,37.14065589,136.68650717926542,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
西海高齢者活性化センター,石川県羽咋郡志賀町西海風無ヲ6-2,石川県,志賀町,37.14001381310504,136.68652782861966,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
香能の丘親水公園,石川県羽咋郡志賀町赤崎4-2-3,石川県,志賀町,37.15905035989031,136.68679297796405,,,,,,,7.00002E+12,志賀町,月火水木金土日,,,,,,,,,,,,,,,,,,,,,,
赤崎構造改善センター ,石川県羽咋郡志賀町赤崎ロ241,石川県,志賀町,37.16797485802002,136.67919253244497,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
西浦農村公園,石川県羽咋郡志賀町鹿頭ヘ144,石川県,志賀町,37.18144175,136.68082222507772,,,,,,,7.00002E+12,志賀町,月火水木金土日,,,,,,,,,,,,,,,,,,,,,,
西浦交流センター,石川県羽咋郡志賀町鹿頭と122-1,石川県,志賀町,37.17972704,136.68337282061572,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
西浦防災センター ,石川県羽咋郡志賀町鹿頭と122-1,石川県,志賀町,37.17982396635787,136.6828192,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
西浦コミュニティセンター,石川県羽咋郡志賀町鹿頭ヘ130甲,石川県,志賀町,37.18194137753871,136.6811698861357,,,,,,,7.00002E+12,志賀町,,,,,,,,,,,,,,,,,,,,,,,
西浦集落緑化施設トイレ,石川県羽咋郡志賀町鹿頭申46,石川県,志賀町,37.18158460858569,136.68057417393732,,,,,,,7.00002E+12,志賀町,月火水木金土日,,,,,,,,,,,,,,,,,,,,,,
笹波棚田ビュースポット,石川県羽咋郡志賀町笹波辰87,石川県,志賀町,37.20111086357078,136.68571407218462,,,,,,,7.00002E+12,志賀町,月火水木金土日,,,,,,,,,,,,,,,,,,,,,,
かほく市狩鹿野コミュニティセンター,石川県かほく市狩鹿野ト67,石川県,かほく市,36.708445,136.713877,,,,,,,172090,かほく市,随時,,,,,,有,,多目的トイレ有,,,,,,,有,,,,,,,https://www.city.kahoku.lg.jp/shisetu/020/d000545.html
かほく市内日角多目的研修集会施設,石川県かほく市内日角2-10・11,石川県,かほく市,36.712926,136.70033,（076）283-2643,,,,,,172090,かほく市,火水木金土,13:00,16:00,祝日を除く,,,,,,,,,,,,,,,,,,,
かほく市大海交流センター,石川県かほく市夏栗い34,石川県,かほく市,36.778534,136.749334,076-281-2123,,,,,,5.22E+12,一般財団法人かほく市公共施設管理公社,月火水木金土日,9:00,22:00,年末年始（12月29日～1月3日）は休館,,,,,多目的トイレ有,段差無;手すり有,,,,,,,,,,,,,https://www.city.kahoku.lg.jp/shisetu/020/d000543.html
かほく市指江コミュニティセンター,石川県かほく市指江フ１,石川県,かほく市,36.705631,136.719231,（076）283－4293,,,,,,172090,かほく市,随時,,,,,,,,,,,,,,,,,,,,,,
かほく市鉢伏区民センター,石川県かほく市鉢伏ホ12,石川県,かほく市,36.723079,136.718992,,,,,,,172090,かほく市,随時,,,,,,,,,,,,,,,,,,,,,,
かほく市内高松構造改善センター,石川県かほく市内高松午39,石川県,かほく市,36.767018,136.730041,,,,,,,172090,かほく市,,,,,,,,,,,,,,,,,,,,,,,http://www.city.kahoku.ishikawa.jp/www/01/103/004/000/index_13.html
かほく市高松産業文化センター,石川県かほく市高松ク４２-１,石川県,かほく市,36.769359,136.721265,076-281-3176,,,,,,172090,かほく市,火水木金土日,9:00,22:00,休館日：毎週月曜日（祝日の場合は翌平日），年末年始（12/29～1/3）,,,,,,,,,,,,,,,,,,,
かほく市よこやま研修館,石川県かほく市横山リ2-14,石川県,かほく市,36.746524,136.719077,（076）285－2034,,,,,,172090,かほく市,月火水木金,13:00,17:00,祝日を除く,,,,,,,,,,,,,,,,,,,
かほく市笠島就業改善センター,石川県かほく市笠島ハ42,石川県,かほく市,36.745187,136.728952,,,,,,,172090,かほく市,,,,,,,,,,,,,,,,,,,,,,,http://www.city.kahoku.ishikawa.jp/www/01/103/005/000/index_31.html
かほく市宇ノ気生涯学習センター,石川県かほく市宇野気ニ110-1,石川県,かほく市,36.720388,136.706621,076-283-0057,,,,,,172090,かほく市,火水木金土日,9:00,平日・土22:00日17:00,祝日を除く,,,有,,多目的トイレ有,スロープ有；エレベーター有；手すり有,,,,,,有,,,,,,,http://www.city.kahoku.ishikawa.jp/www/01/103/007/000/index_21.html
かほく市七塚生涯学習センター,石川県かほく市遠塚ロ57-6,石川県,かほく市,36.735523,136.699982,076-285-1100,,,,,,172090,かほく市,火水木金土日,9:00,平日・土 22:00日祝 17:00,休館日；毎週月曜日（祝日の場合は翌平日），年末年始（12/29～1/3）,,車椅子対応公衆電話有,有,,多目的トイレ有,エレベーター有,有,,,,,有,,,,,,,
かほく市立中央図書館,石川県かほく市遠塚ロ57-6,石川県,かほく市,36.735521,136.699933,076-285-1377,,,,,,172090,かほく市,火水木金土日,9:00,平日19:00土日祝17:00,休館日；毎週月曜日（祝日の場合は翌平日），年末年始（12/29～1/3）、特別整理期間,図書館標語「新しい自分をみつけに図書館へ」親子で触れ合いながら読書に親しんだり、本や雑誌・新聞をゆっくり読んだりできるようになっています。ぜひ、ご来館下さい。,車椅子対応公衆電話有,有,,多目的トイレ有,エレベーター有,有,,,,,有,,,,,,,http://www.city.kahoku.ishikawa.jp/library/
かほく市宇野気駅西ふれあい館,石川県かほく市宇野気チ68-5,石川県,かほく市,,,,,,,,,172090,かほく市,,,,,,,,,,,,,,,,,,,,,,,
かほく市横山駅コミュニティセンター,石川県かほく市横山井77-3,石川県,かほく市,,,,,,,,,172090,かほく市,,,,,,,,,,,,,,,,,,,,,,,
かほく市木津公民館,石川県かほく市木津イ35番地3,石川県,かほく市,36.71572,136.7499,（076）285-0265,,,,,,172090,かほく市,月火水木金,9:30,16:00,休日、祝日を除く,,,,,,スロープ有,,,,,,有,,,,,,,
かほく市松浜公民館,石川県かほく市松浜ハ38-13,石川県,かほく市,36.74679,136.70185,（076）285-1987,,,,,,172090,かほく市,随時,,,,,,,,,スロープ有,,,,,,,,,,,,,
かほく市遠塚公民館,石川県かほく市遠塚イ52,石川県,かほく市,36.74322,136.70391,,,,,,,172090,かほく市,随時,,,,,,,,,スロープ有,,,,,,,,,,,,,
かほく市浜北公民館,石川県かほく市浜北ハ15-1,石川県,かほく市,36.73431,136.69773,（076）283-3752,,,,,,172090,かほく市,月火水木金,9:00,12:00,休日、祝日を除く,,,,,,,,,,,,,,,,,,,
かほく市秋浜公民館,石川県かほく市秋浜ホ12-3,石川県,かほく市,36.73287,136.69186,（076）283-3288,,,,,,172090,かほく市,随時,9:00,12:00,休日、祝日を除く,,,,,,スロープ有,,,,,,有,,,,,,,
かほく市外日角公民館,石川県かほく市外日角ニ72-7,石川県,かほく市,36.72697,136.69538,（076）283-2369,,,,,,172090,かほく市,随時,,,,,,,,,,,,,,,,,,,,,,
かほく市白尾公民館,石川県かほく市白尾ヌ48,石川県,かほく市,36.72216,136.68944,（076）283-2216,,,,,,172090,かほく市,月火水木金,9:00,17:00,休日、祝日を除く,,,,,,スロープ有,,,,,,,,,,,,,
かほく市指江公民館,石川県かほく市指江フ１,石川県,かほく市,36.70821,136.71948,（076）283-4293,,,,,,172090,かほく市,随時,,,,,,,,,,,,,,,,,,,,,,
かほく市七窪公民館,石川県かほく市七窪ホ50,石川県,かほく市,36.72961,136.70986,（076）283-3830,,,,,,172090,かほく市,月火水木金,9:00,13:00,休日、祝日を除く,,,,,,,,,,,,,,,,,,,
かほく市宇野気公民館,石川県かほく市宇野気リ196,石川県,かほく市,36.72381,136.70337,（076）283-4488,,,,,,172090,かほく市,月火水金土,13:30,17:00,木曜、日曜、祝日を除く,,,,,,スロープ有,,,,,,,,,,,,,
かほく市二ツ屋公民館,石川県かほく市二ツ屋ム21,石川県,かほく市,36.78956,136.74116,,,,,,,172090,かほく市,随時,,,,,,,,,,,,,,,,,,,,,,
かほく市長柄町公民館,石川県かほく市長柄町ワ87-3,石川県,かほく市,35.43149,140.22914,,,,,,,172090,かほく市,随時,,,,,,,,,スロープ有,,,,,,,,,,,,,
かほく市気屋公民館,石川県かほく市気屋い146,石川県,かほく市,36.72217,136.73498,,,,,,,172090,かほく市,随時,,,,,,,,,スロープ有,,,,,,,,,,,,,
かほく市上田名公民館,石川県かほく市上田名丑6,石川県,かほく市,36.74666,136.71901,,,,,,,172090,かほく市,随時,,,,,,,,,,,,,,,,,,,,,,
かほく市森コミュニティセンター,石川県かほく市森リ192番地,石川県,かほく市,36.71952,136.71273,（076）283-6399,,,,,,172090,かほく市,随時,,,,,,,,多目的トイレ有,スロープ有,,,,,,,,,,,,,
かほく市宇気コミュニティセンター,石川県かほく市宇気イ40番地3,石川県,かほく市,36.73859,136.71207,（076）283-3019,,,,,,172090,かほく市,月火水木金,14:00,17:00,休日、祝日を除く,,,,,,,,,,,,,,,,,,,
かほく市大崎区民会館,石川県かほく市大崎チ115番地,石川県,かほく市,36.70893,136.71953,（076）283-0059,,,,,,172090,かほく市,月火水木金,9:00,15:00,休日、祝日を除く,,,,,,スロープ有,,,,,,,,,,,,,
かほく市金津ソフトボール場,石川県かほく市谷ワ234,石川県,かほく市,36.742941,136.728014,,,,,,,9.22001E+12,特定非営利活動法人クラブパレット,火水木金土日,9:00,22:00,,ソフトボール1面、夜間照明6基,,,,,,,,,,,,,,,,,,http://www.city.kahoku.ishikawa.jp/www/01/103/006/000/index_102.html
かほく市うのけ総合公園陸上競技場,石川県かほく市下山田ヲ85,石川県,かほく市,36.72089,136.727847,,,,,,,5.22001E+12,一般社団法人かほく市公共施設管理公社,火水木金土日,9:00,22:00,,400mトラック（3種公認）、8コース、サッカー1面（8人制2面）、ラグビー1面、夜間照明,,,,,,,,,,,,,,,,,,http://www.city.kahoku.ishikawa.jp/www/01/103/006/000/index_106.html
かほく市高松グラウンド・ゴルフ場,石川県かほく市二ツ屋マ1,石川県,かほく市,36.786748,136.730961,076-281-3751,,,,,,5.22001E+12,一般社団法人かほく市公共施設管理公社,月火水木金土日,日の出,日の入り,,芝張り、加賀・能登・宝達山・日本海コース、クラブハウスやすらぎ,,,,,,,,,,,,,,,,,,http://www.city.kahoku.ishikawa.jp/www/01/103/006/000/index_95.html
かほく市高松野球場,石川県かほく市内高松オ1,石川県,かほく市,36.763733,136.735715,,,,,,,5.22001E+12,一般社団法人かほく市公共施設管理公社,月水木金土日,9:00,22:00,,観覧席500人、夜間照明4基、中央110m、両翼90m,,,,,,,,,,,,,,,,,,http://www.city.kahoku.ishikawa.jp/www/01/103/006/000/index_91.html
かほく市宇ノ気南部体育館,石川県かほく市大崎チ73,石川県,かほく市,36.70493,136.690332,,,,,,,5.22001E+12,一般社団法人かほく市公共施設管理公社,火水木金土日,9:00,22:00,,バスケットボール1面、バレーボール2面、バドミントン4面、観覧席、ランニングコース1周120m,,,,,,,,,,,,,,,,,,http://www.city.kahoku.ishikawa.jp/www/01/103/006/000/index_105.html
かほく市少年野球場,石川県かほく市下山田ル7,石川県,かほく市,36.718397,136.723921,,,,,,,5.22001E+12,一般社団法人かほく市公共施設管理公社,火水木金土日,8:00,21:00,,観覧席420人、夜間照明2基、中央85m、両翼70m、会議室,,,,,,,,,,,,,,,,,,http://www.city.kahoku.ishikawa.jp/www/01/103/006/000/index_101.html
かほく市宇ノ気体育センター,石川県かほく市下山田丑39-1,石川県,かほく市,36.718397,136.723921,076-283-4961,,,,,,5.22001E+12,一般社団法人かほく市公共施設管理公社,火水木金土日,9:00,22:00,,バスケットボール1面、バレーボール2面、バドミントン6面、観覧席、会議室（和室）,,,,,,,,,,,,,,,,,,http://www.city.kahoku.ishikawa.jp/www/01/103/006/000/index_107.html
かほく市高松体育センター,石川県かほく市内高松オ61,石川県,かほく市,36.765158,136.734091,076-282-5479,,,,,,5.22001E+12,一般社団法人かほく市公共施設管理公社,月水木金土日,9:00,22:00,,バレーボール2面、バドミントン6面、会議室,,,,,,,,,,,,,,,,,,http://www.city.kahoku.ishikawa.jp/www/01/103/006/000/index_90.html
かほく市七塚中央公園多目的運動広場,石川県かほく市遠塚二１７-１,石川県,かほく市,36.735509,136.697926,076-285-2191,,,,,,5.22001E+12,一般社団法人かほく市公共施設管理公社,月火水木金土日,9:00,22:00,,砂グラウンド、観覧席2箇所、夜間照明8基,,,,,,,,,,,,,,,,,,http://www.city.kahoku.ishikawa.jp/www/01/103/006/000/index_1292.html
かほく市七塚テニスコート,石川県かほく市浜北イ37-5,石川県,かほく市,36.733065,136.70261,,,,,,,9.22001E+12,特定非営利活動法人クラブパレット,月火水木金土日,9:00,22:00,,砂入人工芝コート6面、夜間照明12基,,,,,,,,,,,,,,,,,,http://www.city.kahoku.ishikawa.jp/www/01/103/006/000/index_16848.html
かほく市七塚体育センター,石川県かほく市白尾ナ97,石川県,かほく市,36.714142,136.687982,076-283-3151,,,,,,9.22001E+12,特定非営利活動法人クラブパレット,火水木金土日,9:00,22:00,,バスケットボール1面、バレーボール2面、バドミントン6面、テニスコート1面、ランニングコース1周120m、トレーニング場、会議室,,,,,,,,,,,,,,,,,,http://www.city.kahoku.ishikawa.jp/www/01/103/006/000/index_11865.html
かほく市宇ノ気新化館,石川県かほく市森レ20,石川県,かほく市,36.722854,136.706287,,,,,,,9.22001E+12,特定非営利活動法人クラブパレット,火水木金土日,9:00,22:00,,柔道場1面、剣道場2面、バレーボール2面、バスケットボール1面、バドミントン4面,,,,,,,,,,,,,,,,,,http://www.city.kahoku.ishikawa.jp/www/01/103/006/000/index_16856.html
かほく市宇ノ気体育館,石川県かほく市森レ1,石川県,かほく市,36.723257,136.706592,076-283-4411,,,,,,9.22001E+12,特定非営利活動法人クラブパレット,月火水木金土日,9:00,22:00,,バスケットボール2面、バレーボール2面、バドミントン6面、ランニングコース、室内練習場、スタジオ、観覧席132席,,,,,,,,,,,,,,,,,,http://www.city.kahoku.ishikawa.jp/www/01/103/006/000/index_16855.html
かほく市宇ノ気スポーツセンター,石川県かほく市宇野気リ196-1,石川県,かほく市,36.720576,136.703969,,,,,,,9.22001E+12,特定非営利活動法人クラブパレット,火水木金土日,9:00,22:00,,バレーボール1面、バドミントン2面,,,,,,,,,,,,,,,,,,http://www.city.kahoku.ishikawa.jp/www/01/103/006/000/index_16851.html
かほく市七窪体育館,石川県かほく市七窪ホ41,石川県,かほく市,36.726553,136.710045,076-283-3830,,,,,,,七窪区,火水木金土日,9:00,22:00,,バレーボール1面、バドミントン2面,,,,,,,,,,,,,,,,,,http://www.city.kahoku.ishikawa.jp/www/01/103/006/000/index_16852.html
かほく市サッカー・ラグビー競技場,石川県かほく市内高松オ80,石川県,かほく市,36.765641,136.733579,076-256-5495,,,,,,9.22001E+12,特定非営利活動法人クラブパレット,月火水木金土日,9:00,22:00,,人工芝 サッカー： 1面（8人制2面）、ラグビー： 1面、夜間照明,,,,,,,,,,,,,,,,,,http://www.city.kahoku.ishikawa.jp/www/01/103/006/000/index_16850.html
かほく市アクロス高松,石川県かほく市内高松二12,石川県,かほく市,36.762446,136.734402,076-281-8000,,,,,,9.0107E+12,コナミスポーツクラブ・PFUライフエージェンシーグループ,月水木金土日,10:00,22:00,,テニスコート2面、ゲートボール4面、軽運動室、浴室（平湯、外湯、サウナ）、マシンジム、スタジオ、ランニングコース、室内温水プール25m×8コース他,,,,,,,,,,,,,,,,,,http://www.city.kahoku.ishikawa.jp/www/01/103/006/000/index_11789.html
かほく市藤が丘公園,石川県かほく市上田名ニ24,石川県,かほく市,36.743253,136.733837,,,,,,,,,月水木金土日,,,,,,,,多目的トイレ有,,,,,,,,,,,,,,
かほく市潮見台公園,石川県かほく市大崎潮見台177,石川県,かほく市,36.70852,136.686335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
かほく市立高松中学校,石川県かほく市高松ヤ42,石川県,かほく市,36.767625,136.721076,076-281-0221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cms1.ishikawa-c.ed.jp/takamｊ/
かほく市立河北台中学校,石川県かほく市遠塚ロ47-1,石川県,かほく市,36.734679,136.703358,076-285-0262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cms1.ishikawa-c.ed.jp/kahokj/
かほく市立宇ノ気中学校,石川県かほく市森レ1,石川県,かほく市,36.723293,136.706929,076-283-0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cms1.ishikawa-c.ed.jp/unokej/
かほく市立高松小学校,石川県かほく市高松ヤ10,石川県,かほく市,36.769018,136.719443,076-281-0068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cms1.ishikawa-c.ed.jp/takame/
かほく市立大海小学校,石川県かほく市夏栗ロ10,石川県,かほく市,36.77861,136.747784,076-281-0270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cms1.ishikawa-c.ed.jp/oomixe/
かほく市立七塚小学校,石川県かほく市木津ホ61-1,石川県,かほく市,36.748098,136.701713,076-285-0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cms1.ishikawa-c.ed.jp/nanate/
かほく市立外日角小学校,石川県かほく市外日角ニ52,石川県,かほく市,36.723714,136.691802,076-283-0040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cms1.ishikawa-c.ed.jp/sotohe/
かほく市立宇ノ気小学校,石川県かほく市宇野気リ147,石川県,かほく市,36.719962,136.704305,076-283-0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cms1.ishikawa-c.ed.jp/unokee/
かほく市立金津小学校,石川県かほく市谷カ30,石川県,かほく市,36.741695,136.725461,076-283-0216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cms1.ishikawa-c.ed.jp/kanade/
かほく市役所,石川県かほく市宇野気ニ81,石川県,かほく市,36.719815,136.706735,076-283-1111,,,,,,,,月火水木金,8:30,17:15,,,,有,,多目的トイレ有,エレベーター、手すり、スロープあり,,,,,,有,,,,,,,https://www.city.kahoku.lg.jp/
かほく市消防本部,石川県かほく市内日角3丁目1,石川県,かほく市,36.713513,136.701602,,,,,,-,,,月火水木金土日,0:00,0:00,,,,,,,,,,,,,,,,,,,,https://www.city.kahoku.lg.jp/060/d011229.html
かほく市消防本部高松分署,石川県かほく市高松オ21-2,石川県,かほく市,36.766396,136.723532,,,,,,-,,,月火水木金土日,0:00,0:00,,,,,,,,,,,,,,,,,,,,https://www.city.kahoku.lg.jp/soshiki/800000/800200/index.html
かほく市高松老人福祉センター,石川県かほく市 高松ヌ100,石川県,かほく市,36.77129,136.739512,076-282-5347,,,,,-,,,月火水木金,9:30,17:00,祝日を除く,60歳以上の方を対象に入浴事業を実施（月・水・金）,,,,,手すり、スロープあり,,,,,,,,,,,,,https://www.city.kahoku.lg.jp/003/341/346/d000538.html
かほく市宇ノ気老人福祉センター,石川県かほく市内日角ウ4-1,石川県,かほく市,36.715157,136.694455,076-283-3775,,,,,-,,,月火水木金,9:30,17:00,祝日を除く,60歳以上の方を対象に入浴事業を実施（月・水・金）,,,,,手すり、スロープあり,,,,,,,,,,,,,https://www.city.kahoku.lg.jp/003/341/346/d000534.html
かほく市七塚健康福祉センター,石川県かほく市遠塚ロ52-10,石川県,かほく市,36.734743,136.700706,076-285-2002,,,,,-,,,月火水木金日,8:30,10:00,休館日：毎週土曜日、祝日、年末年始（12/29～1/3）,,,,,,エレベーター、手すり、スロープあり,,,,,,,,,,,,,https://www.city.kahoku.lg.jp/shisetu/010/d010080.html
かほく市宇ノ気保健福祉センター,石川県かほく市宇野気ニ71-2,石川県,かほく市,36.719395,136.70631,076-283-1117,,,,,-,,,月火水木金,8:30,17:15,祝日を除く,宇ノ気保健福祉センター、福祉事務所、障害者相談支援センター、障害者虐待防止センター,,,,,,,,,,,,,,,,,,https://www.city.kahoku.lg.jp/shisetu/060/d011466.html
川北町総合体育館,石川県能美郡川北町字壱ツ屋101-1,石川県,能美郡川北町,36.47023776,136.5420543,(076)277-1151,,,,,,7.00002E+12,川北町,月火水木金土日,8:30,21:00,,,室内用であれば可,無,無,無,有,無,無,無,無,有,無,無,無,無,有,無,無,
川北温泉ふれあい健康センター,石川県能美郡川北町字壱ツ屋100,石川県,能美郡川北町,36.47009422,136.5414208,(076)277-1110,,,,,,7.00002E+12,川北町,月水木金土日,10:00,22:00,,個室の優良貸出有り。飲食店、町立図書館を併設。,室内用であれば可,無,無,無,有,無,無,無,無,有,無,無,無,無,有,無,無,https://kawakitaonsen.amebaownd.com/
第２町民体育館,石川県能美郡川北町字土室丁3,石川県,能美郡川北町,36.4720463,136.5453584,(076)277-1151,,,,,,7.00002E+12,川北町,月火水木金土日,8:30,21:00,,,室内用であれば可,無,無,無,無,無,無,無,無,有,無,無,無,無,有,無,無,
サンアリーナ川北,石川県能美郡川北町字壱ツ屋93,石川県,能美郡川北町,36.46950341,136.5405763,(076)277-1151,,,,,,7.00002E+12,川北町,月火水木金土日,9:00,21:00,,室内テニスコート３面。会議室有り,室内用であれば可,無,無,有,無,無,無,無,無,有,無,無,無,無,有,無,有,
川北町武道館,石川県能美郡川北町字壱ツ屋チ85,石川県,能美郡川北町,36.47221782,136.5439941,(076)277-1151,,,,,,7.00002E+12,川北町,月火水木金土日,9:00,21:00,,,室内用であれば可,無,無,無,無,無,無,無,無,有,無,無,無,無,有,無,無,
川北町児童館,石川県能美郡川北町字土室丙129-1,石川県,能美郡川北町,36.47372583,136.5448843,(076)277-1314,,,,,,7.00002E+12,川北町,月火水木金土,9:00,16:00,,,室内用であれば可,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,
川北町西部地区児童館,石川県能美郡川北町字橘平44,石川県,能美郡川北町,36.47336634,136.5095861,(076)277-1222,,,,,,7.00002E+12,川北町,月火水木金土,9:00,16:00,,,室内用であれば可,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,
川北町役場,石川県能美郡川北町字壱ツ屋174,石川県,能美郡川北町,36.46848795,136.5423419,(076)277-1111,,,,,,7.00002E+12,川北町,月火水木金,8:30,17:15,,,室内用であれば可,無,無,有,有,無,無,無,無,有,有,有,無,無,有,有,有,
百寿会館,石川県能美郡川北町字壱ツ屋174,石川県,能美郡川北町,36.46845931,136.5417221,(076)277-1842,,,,,,7.00002E+12,川北町,月火水木金,9:00,16:00,,,可,有,無,無,有,無,無,無,無,有,有,無,無,無,有,無,無,
川北町東部地区児童館,石川県能美郡川北町字中島へ2-1,石川県,能美郡川北町,36.4638681,136.5873168,(076)277-5271,,,,,,7.00002E+12,川北町,月火水木金土,9:00,16:00,,,室内用であれば可,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,
川北町文化センター,石川県能美郡川北町字壱ツ屋174,石川県,能美郡川北町,36.46900426,136.5422928,(076)277-1151,,,,,,7.00002E+12,川北町,月火水木金土日,8:30,17:00,,会議室、ホール有り,室内用であれば可,無,無,有,有,無,無,無,無,有,有,無,無,無,有,無,有,
川北町東部地区学習等供用施設,石川県能美郡川北町字中島ワ128-2,石川県,能美郡川北町,36.46513805,136.5849616,(076)277-1151,,,,,,7.00002E+12,川北町,月火水木金土日,9:00,16:00,,,室内用であれば可,無,無,無,有,無,無,無,無,有,無,無,無,無,有,無,無,
